Texto,intencion
Buenos días,saludo
Hola,saludo
¿Cómo estás?,saludo
Buenas noches,saludo
"Hola, ¿cómo estás?",saludo
Hola chatbot,saludo
¿Hay alguien ahí?,saludo
Saludos,saludo
¿Qué tal?,saludo
Hola amigo,saludo
"Buenos días, necesito ayuda",saludo
"Hola, tengo una consulta",saludo
Hola sistema,saludo
"Hola, ¿me puedes ayudar?",saludo
¿Cómo te encuentras?,saludo
Un saludo,saludo
Feliz día,saludo
Hola Coffe,saludo
¿Qué significa roya?,consulta_roya
¿Qué enfermedad es la roya?,consulta_roya
Cuéntame sobre la roya del café,consulta_roya
¿Por qué aparece la roya?,consulta_roya
¿Qué causa la roya?,consulta_roya
¿La roya es un hongo?,consulta_roya
¿Cómo afecta la roya al café?,consulta_roya
¿Qué daños produce la roya?,consulta_roya
¿Qué es Hemileia vastatrix?,consulta_roya
¿La roya mata las plantas?,consulta_roya
¿Qué tan peligrosa es la roya?,consulta_roya
¿La roya afecta la producción?,consulta_roya
Información sobre la roya,consulta_roya
Quiero aprender sobre la roya,consulta_roya
¿Cuál es el origen de la roya?,consulta_roya
¿Cómo se desarrolla la roya?,consulta_roya
¿Qué ocurre cuando una planta tiene roya?,consulta_roya
Definición de roya del café,consulta_roya
¿Por qué le da roya al café?,consulta_roya
¿De dónde sale la roya?,consulta_roya
¿Qué produce la roya en las plantas?,consulta_roya
¿Por qué aparece la roya en el cafetal?,consulta_roya
¿Qué tan peligrosa es la roya?,consulta_roya
¿La roya es un hongo?,consulta_roya
¿Por qué mis matas se enferman de roya?,consulta_roya
¿La roya afecta mucho la producción?,consulta_roya
¿Qué daños causa la roya?,consulta_roya
¿La roya puede acabar un cultivo?,consulta_roya
¿Cómo se desarrolla la roya?,consulta_roya
¿Qué pasa cuando aparece roya en un cafetal?,consulta_roya
¿Qué tan común es la roya?,consulta_roya
¿La roya solo afecta al café?,consulta_roya
¿Qué ocurre si aparece roya en las plantas?,consulta_roya
¿Por qué la roya se considera una amenaza?,consulta_roya
¿Qué tan dañina es la roya para el café?,consulta_roya
¿La roya afecta la cosecha?,consulta_roya
¿La roya se riega fácilmente?,consulta_roya
¿La roya puede extenderse por toda la finca?,consulta_roya
¿Qué significa tener roya en el cultivo?,consulta_roya
¿Cómo llegó la roya a los cafetales?,consulta_roya
¿Por qué aparece tanta roya en algunas fincas?,consulta_roya
¿Qué consecuencias tiene la roya?,consulta_roya
¿La roya afecta los granos de café?,consulta_roya
¿Qué tan grave puede ser la roya?,consulta_roya
¿Por qué la roya preocupa a los caficultores?,consulta_roya
¿Cómo afecta la roya el crecimiento de las plantas?,consulta_roya
Cuénteme qué es la roya del café,consulta_roya
Quiero saber más sobre la roya,consulta_roya
Explíqueme qué es la roya,consulta_roya
Necesito información sobre la roya,consulta_roya
¿Qué debo saber sobre la roya?,consulta_roya
¿Por qué se presenta la roya?,consulta_roya
¿Qué origina la roya en el café?,consulta_roya
¿Qué características tiene la roya?,consulta_roya
¿Por qué aparece esa enfermedad en las hojas?,consulta_roya
¿Qué es lo que provoca la roya?,consulta_roya
¿Cómo afecta la roya la salud de los cafetos?,consulta_roya
¿La roya es una enfermedad grave?,consulta_roya
¿Qué diferencia hay entre la roya y otras enfermedades?,consulta_roya
¿La roya afecta cultivos jóvenes y viejos?,consulta_roya
¿Por qué la roya sigue apareciendo en los cafetales?,consulta_roya
¿Qué tan rápido puede avanzar la roya?,consulta_roya
